sequence_id,global_id,camera_id,local_track_id,,
720,P001,A,1,,
720,P002,A,2,,
720,P003,C,15,,
720,P004,C,16,,
720,P005,C,17,,
720,P006,C,18,,
720,P007,C,19,,
720,P008,C,20,,
720,P009,C,21,,
720,P010,C,2,,
720,P011,C,22,,
720,P012,C,3,,
720,P013,A,3,,
720,P014,B,1,,
720,P015,B,2,,
720,P016,D,1,,
720,P017,D,2,,
720,P018,D,3,,
720,P019,D,4,,
720,P020,D,13,,
720,P021,D,24,,
720,P022,B,3,,
720,P023,A,8,,
720,P024,D,29,,
720,P025,D,25,,
720,P026,D,15,,
720,P027,B,4,,
720,P028,E,5,,
720,P029,E,7,,
720,P030,E,8,,
720,P031,E,9,,
720,P032,E,10,,
720,P033,E,16,,
720,P034,B,5,,
720,P035,B,51,,
720,P036,B,52,,
720,P037,B,53,,
720,P038,A,10,,
720,P039,A,11,,
720,P040,C,23,,
720,P041,C,24,,
720,P042,C,25,,
720,P043,C,26,,
720,P044,C,14,,
720,P045,C,27,,
720,P046,C,28,,
720,P047,C,29,,
720,P048,C,30,,
720,P049,D,16,,
720,P050,D,18,,
720,P051,C,7,,
720,P052,C,8,,
720,P053,C,9,,
720,P054,B,18,,
720,P055,B,19,,
720,P056,D,20,,
720,P057,D,26,,
720,P058,D,30,,
720,P059,D,23,,
720,P060,D,27,,
720,P061,D,31,,
720,P062,D,32,,
720,P063,D,28,,
720,P064,B,46,,
720,P065,B,47,,
720,P066,E,1,,
720,P067,E,2,,
720,P068,E,3,,
720,P069,F,3,,
720,P070,F,4,,
720,P071,F,5,,
720,P072,F,6,,
720,P073,F,7,,
720,P074,F,8,,
720,P075,F,9,,
720,P076,F,10,,
720,P077,F,11,,
720,P078,F,12,,
720,P079,F,13,,
720,P080,F,14,,
720,P081,F,15,,
720,P082,G,3,,
720,P083,G,30,,
720,P084,G,6,,
720,P085,G,9,,
720,P086,G,11,,
720,P087,G,13,,
720,P088,G,15,,
720,P089,G,18,,
720,P090,G,19,,
720,P091,G,20,,
720,P092,G,29,,
727,P001,A,1,,
727,P002,A,2,,
727,P003,A,4,,
727,P004,B,14,,
727,P005,B,1,,
727,P006,B,2,,
727,P007,B,3,,
727,P008,B,4,,
727,P009,B,5,,
727,P010,B,6,,
727,P011,B,7,,
727,P012,B,8,,
727,P013,B,15,,
727,P014,B,16,,
727,P015,B,18,,
727,P016,C,32,,
727,P017,C,33,,
727,P018,C,34,,
727,P019,C,1,,
727,P020,C,3,,
727,P021,C,4,,
727,P022,C,5,,
727,P023,C,6,,
727,P024,C,7,,
727,P025,C,8,,
727,P026,C,9,,
727,P027,C,10,,
727,P028,C,12,,
727,P029,C,13,,
727,P030,C,14,,
727,P031,C,15,,
727,P032,D,1,,
727,P033,D,2,,
727,P034,D,5,,
727,P035,D,6,,
727,P036,D,9,,
727,P037,D,10,,
727,P038,D,11,,
727,P039,D,12,,
727,P040,D,13,,
727,P041,D,14,,
